City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
ostrovnoy,68.0531,39.5131,44.89,83,100,19.15
mahebourg,-20.4081,57.7,73.26,72,0,10.2
qaanaaq,77.484,-69.3632,33.22,89,100,2.35
zhuhai,22.2769,113.5678,80.78,89,40,12.17
cape town,-33.9258,18.4232,57.7,92,54,1.99
atuona,-9.8,-139.0333,78.85,68,36,11.83
flinders,-34.5833,150.8552,45.09,85,24,1.01
opuwo,-18.0607,13.84,76.77,16,72,7.99
tiksi,71.6872,128.8694,34.57,89,9,2.35
pushkinskiye gory,57.0209,28.9103,57.27,55,100,3.09
aykhal,66.0,111.5,51.76,46,73,12.48
castro,-24.7911,-50.0119,57.42,97,100,2.39
avarua,-21.2078,-159.775,66.25,82,70,3.44
saskylakh,71.9167,114.0833,47.89,66,76,12.77
constitucion,-35.3333,-72.4167,62.49,83,89,5.46
albany,42.6001,-73.9662,53.42,82,100,7.0
vilyuysk,63.7553,121.6247,51.13,48,19,1.57
ushuaia,-54.8,-68.3,31.66,86,75,5.75
bambous virieux,-20.3428,57.7575,73.22,72,1,10.45
kodinsk,58.6881,99.1844,44.58,68,2,2.68
teknaf,20.8624,92.3058,82.17,84,100,5.59
busselton,-33.65,115.3333,51.08,85,98,5.86
ambon,-3.6954,128.1814,77.14,88,40,10.36
maragogi,-9.0122,-35.2225,81.64,72,20,7.74
fallon,39.4735,-118.7774,73.42,19,1,3.44
kantang,7.4054,99.5156,80.11,83,100,1.57
colonelganj,27.1333,81.7,93.16,38,50,1.92
punta arenas,-53.15,-70.9167,32.11,74,0,3.47
rikitea,-23.1203,-134.9692,73.99,66,0,13.35
new norfolk,-42.7826,147.0587,42.76,82,100,1.01
gobabis,-22.45,18.9667,66.65,20,0,8.7
qingdao,36.0986,120.3719,71.2,64,20,3.42
port hardy,50.6996,-127.4199,59.18,94,90,2.3
arman,59.7,150.1667,35.98,99,100,4.05
mamakan,57.8161,114.0028,40.86,97,92,1.74
bethel,41.3712,-73.414,55.44,79,90,1.99
clinton,42.587,-82.9199,69.31,40,1,1.99
varhaug,58.6147,5.6457,61.63,69,6,14.36
ayan,56.45,138.1667,38.08,95,90,5.28
mayor pablo lagerenza,-19.9309,-60.7718,68.59,57,86,2.51
hermanus,-34.4187,19.2345,55.8,77,58,8.59
torbay,47.6666,-52.7314,53.1,54,67,14.34
yellowknife,62.456,-114.3525,49.32,54,99,5.01
kruisfontein,-34.0033,24.7314,55.89,76,99,12.59
puerto ayora,-0.7393,-90.3518,75.54,85,83,7.0
rosita,13.9268,-84.4032,89.85,44,76,4.09
beloha,-25.1667,45.05,67.01,68,91,11.5
port elizabeth,-33.918,25.5701,58.1,73,100,15.75
port alfred,-33.5906,26.891,61.9,71,100,10.02
garchitorena,13.8804,123.6946,81.55,84,70,4.18
kodiak,57.79,-152.4072,45.91,87,90,14.97
mar del plata,-38.0023,-57.5575,58.59,34,35,1.01
taybad,34.74,60.7756,93.0,11,0,16.89
cabo san lucas,22.8909,-109.9124,81.86,47,1,6.91
tiarei,-17.5333,-149.3333,71.62,65,36,16.17
khatanga,71.9667,102.5,34.38,99,100,7.25
pisco,-13.7,-76.2167,66.25,82,90,4.61
kolyvan,55.3053,82.7391,67.62,78,21,7.99
hofn,64.2539,-15.2082,46.35,86,64,10.51
bontang,0.1333,117.5,78.69,90,80,6.38
sault sainte marie,46.5168,-84.3333,68.29,42,40,6.91
zhigansk,66.7697,123.3711,53.62,46,67,7.43
thompson,55.7435,-97.8558,61.52,42,97,5.28
pevek,69.7008,170.3133,37.53,66,30,1.1
nanortalik,60.1432,-45.2371,39.15,77,50,11.68
bilibino,68.0546,166.4372,47.95,57,17,2.04
dikson,73.5069,80.5464,30.74,97,100,15.52
hambantota,6.1241,81.1185,81.27,81,76,20.56
beja,36.7256,9.1817,83.62,29,100,11.32
fortuna,40.5982,-124.1573,60.73,72,68,5.5
ponta do sol,32.6667,-17.1,69.39,73,58,2.35
qasigiannguit,68.8193,-51.1922,35.85,89,100,4.41
butaritari,3.0707,172.7902,82.72,76,31,15.93
virginia beach,36.8529,-75.978,66.79,63,20,13.8
hobyo,5.3505,48.5268,79.29,82,88,22.44
saint george,37.1041,-113.5841,81.93,14,1,4.0
pontes e lacerda,-15.2261,-59.3353,84.87,48,99,5.82
khor,47.8861,134.9464,50.54,86,44,2.89
crotone,39.0851,17.1178,60.93,53,95,3.71
baglung,28.2719,83.5898,69.12,85,9,4.76
raglan,-37.8,174.8833,46.49,89,68,7.09
jamestown,42.097,-79.2353,64.38,43,1,4.0
sur,22.5667,59.5289,97.41,28,88,9.8
araouane,18.9048,-3.5265,111.07,5,2,6.02
emerald,-23.5333,148.1667,55.36,93,5,7.16
launceston,-41.45,147.1667,40.71,93,40,4.68
nikolskoye,59.7035,30.7861,53.6,64,100,6.15
ambilobe,-13.2,49.05,73.94,73,7,2.21
cidreira,-30.1811,-50.2056,60.04,40,0,8.72
ternate,0.8,127.4,81.91,78,100,8.77
tarauaca,-8.1614,-70.7656,83.68,72,91,3.31
bella vista,36.4295,-94.2316,62.76,74,1,4.0
xichang,27.8964,102.2634,69.55,83,81,2.82
antioch,36.2066,36.1572,82.22,43,0,12.68
najran,17.4924,44.1277,89.28,10,2,14.76
agirish,61.9247,63.0231,47.26,44,54,4.5
mataura,-46.1927,168.8643,49.48,96,99,1.86
katsuura,35.1333,140.3,65.21,83,53,4.54
shalinskoye,55.7228,93.7594,39.38,82,0,5.41
barrow,71.2906,-156.7887,28.42,74,90,10.36
sorong,-0.8833,131.25,79.9,87,100,9.95
kingston,17.997,-76.7936,85.98,64,20,1.01
ketchikan,55.3422,-131.6461,57.18,97,100,4.88
kapaa,22.0752,-159.319,70.12,88,1,3.31
mbigou,-1.9005,11.906,77.27,86,78,3.06
yakeshi,49.2833,120.7333,47.21,93,100,8.21
hilo,19.7297,-155.09,71.69,94,90,4.61
whitehorse,60.7161,-135.0538,48.29,66,100,15.99
bonthe,7.5264,-12.505,75.76,89,100,6.89
bara,10.3744,10.7288,100.71,24,36,3.62
lompoc,34.6391,-120.4579,54.36,100,90,4.79
port blair,11.6667,92.75,83.48,76,3,3.89
bredasdorp,-34.5322,20.0403,55.27,86,24,7.76
thinadhoo,0.5333,72.9333,84.27,71,88,18.03
koumac,-20.5667,164.2833,68.72,59,69,11.54
faanui,-16.4833,-151.75,78.57,66,100,15.37
xam nua,20.4197,104.0439,72.07,85,97,3.04
east london,-33.0153,27.9116,66.63,53,100,12.06
sao filipe,14.8961,-24.4956,74.77,74,10,15.3
deputatskiy,69.3,139.9,50.54,53,90,3.47
chuy,-33.6971,-53.4616,61.7,48,22,16.75
sitka,57.0531,-135.33,57.09,67,90,18.41
forio,40.7342,13.8646,72.01,56,62,11.99
russkaya polyana,49.417,31.9201,54.99,74,100,11.86
san felipe,10.3399,-68.7425,87.48,54,43,1.92
arraial do cabo,-22.9661,-42.0278,73.26,88,90,5.75
margate,51.3813,1.3862,63.61,85,0,12.46
aklavik,68.2191,-135.0107,33.8,86,90,12.66
lokosovo,61.1333,74.8167,41.86,91,100,13.44
paita,-5.0892,-81.1144,72.55,73,99,11.79
cravo norte,6.3017,-70.2041,80.67,77,97,2.62
motygino,58.1831,94.7592,44.15,75,4,3.98
west wendover,40.7391,-114.0733,74.41,13,1,3.44
adrar,20.5022,-10.0711,104.0,13,93,5.01
melfi,40.9965,15.6514,70.99,33,56,17.0
kibaya,-5.3,36.5667,60.37,77,90,7.74
iqaluit,63.7506,-68.5145,34.7,74,94,5.99
lavrentiya,65.5833,-171.0,29.25,85,21,9.46
morondava,-20.2833,44.2833,74.84,62,1,10.92
vaini,-21.2,-175.2,71.76,88,90,5.75
georgetown,5.4112,100.3354,85.89,76,20,0.92
sanchazi,42.0817,126.6003,57.06,79,100,2.62
sarai mir,26.0167,82.9167,89.58,41,85,7.09
yichun,47.7,128.9,48.96,88,97,5.06
plainview,40.7765,-73.4673,56.8,76,90,4.0
comodoro rivadavia,-45.8667,-67.5,42.66,93,90,3.44
nardaran,40.5561,50.0056,71.24,64,0,6.73
nagua,19.3832,-69.8474,82.47,83,40,9.42
ibra,22.6906,58.5334,96.42,15,48,12.26
ganzhou,28.8184,115.4327,75.27,90,61,2.19
talnakh,69.4865,88.3972,32.54,91,100,7.02
coahuayana,18.7333,-103.6833,92.68,34,80,3.24
sinnamary,5.3833,-52.95,76.48,94,100,8.81
porto novo,6.4965,2.6036,85.68,66,62,13.58
havoysund,70.9963,24.6622,43.03,98,100,24.47
bjornevatn,69.6672,29.9847,46.74,61,40,18.41
narsaq,60.9167,-46.05,48.42,61,87,8.7
charlestown,-32.95,151.6667,48.56,90,9,1.99
trat,12.5,102.5,78.87,89,6,1.61
manado,1.487,124.8455,77.77,94,40,2.57
trapani,37.8333,12.6667,70.68,54,100,10.65
sao joao da barra,-21.6403,-41.0511,77.0,79,96,6.44
saint-philippe,-21.3585,55.7679,70.72,80,24,6.13
haines junction,60.7522,-137.5108,46.47,79,100,1.54
kathmandu,27.7167,85.3167,71.82,83,75,5.75
norman wells,65.282,-126.8329,50.47,77,100,2.53
brainerd,46.358,-94.2008,67.3,48,1,10.36
yumen,40.2833,97.2,66.38,11,0,11.14
straumen,63.8709,11.2999,62.56,58,100,4.76
camacha,33.0833,-16.3333,62.02,94,75,11.5
teya,60.3778,92.6267,50.13,66,100,5.5
vitim,59.4511,112.5578,41.81,95,98,5.77
antsohihy,-14.8796,47.9875,75.6,76,11,3.13
kavieng,-2.5744,150.7967,78.3,87,100,4.41
la esperanza,14.8667,-91.5667,62.33,64,40,4.61
clyde river,70.4692,-68.5914,30.78,85,20,2.8
nador,35.174,-2.9287,70.05,88,75,9.51
keflavik,64.0049,-22.5624,48.63,71,75,24.16
faya,18.3851,42.4509,81.12,13,1,14.5
chokurdakh,70.6333,147.9167,52.63,55,26,9.04
le marin,14.4721,-60.8697,87.71,62,75,17.65
tasiilaq,65.6145,-37.6368,41.16,80,12,8.9
udachnyy,66.4167,112.4,55.17,46,66,10.51
monrovia,6.3005,-10.7969,87.57,88,100,7.63
burnie,-41.0667,145.9167,47.91,85,100,4.32
kaitangata,-46.2817,169.8464,46.92,85,95,6.17
yamada,39.4667,141.95,54.81,86,100,1.23
mackay,-21.15,149.2,59.68,78,100,10.42
lagoa,39.05,-27.9833,61.0,78,100,20.18
bluff,-46.6,168.3333,49.8,67,86,6.55
saint-georges,12.0564,-61.7485,83.88,74,40,21.85
naryan-mar,67.6713,53.087,42.46,85,100,15.01
port hedland,-20.3167,118.5667,69.85,83,80,5.75
hithadhoo,-0.6,73.0833,84.09,70,86,16.33
beringovskiy,63.05,179.3167,30.96,89,94,7.99
codrington,-38.2667,141.9667,48.34,43,100,11.68
ilulissat,69.2167,-51.1,35.62,80,75,6.91
coquimbo,-29.9533,-71.3436,67.73,55,0,1.25
grand baie,-20.0182,57.5802,73.45,76,0,5.01
kaabong,3.4836,34.1492,70.83,51,15,11.21
lazaro cardenas,17.9583,-102.2,85.95,61,88,4.16
luanda,-8.8368,13.2343,78.8,78,0,9.22
rio gallegos,-51.6226,-69.2181,35.24,69,100,4.05
namatanai,-3.6667,152.4333,79.05,85,100,4.47
severo-kurilsk,50.6789,156.125,36.99,98,100,27.74
hutang,31.5333,119.4833,73.53,79,43,10.09
namioka,40.7072,140.5894,48.74,93,46,2.59
mnogovershinnyy,53.9353,139.9242,44.64,66,75,4.56
san rafael del sur,11.8485,-86.4384,89.06,49,11,16.24
paamiut,61.994,-49.6678,36.91,84,89,6.93
ribeira grande,38.5167,-28.7,68.4,73,75,4.61
labuhan,-6.8844,112.2051,78.35,87,95,5.32
mount gambier,-37.8333,140.7667,45.9,44,100,7.31
pesca,5.55,-73.05,58.39,79,86,4.81
mount isa,-20.7333,139.5,58.77,63,32,0.0
le port,-20.9373,55.2919,70.36,92,2,2.77
hobart,-42.8794,147.3294,44.94,74,100,3.0
dublin,37.7021,-121.9358,69.84,53,1,1.79
salalah,17.0151,54.0924,84.29,84,75,8.05
beisfjord,68.3751,17.5988,51.94,84,100,3.38
ust-tsilma,65.441,52.1498,51.66,52,98,5.61
marawi,7.9986,124.2928,70.65,90,98,3.04
samana,19.2056,-69.3369,82.62,83,40,11.5
koronowo,53.3137,17.937,68.07,39,48,3.71
ekimchan,53.0667,132.9667,44.13,93,12,1.25
carnarvon,-24.8667,113.6333,60.87,82,1,12.66
saint-denis,48.9167,2.3333,75.09,33,0,4.0
tabas,33.5959,56.9244,98.44,6,0,5.82
san pedro,14.35,121.0167,84.76,77,20,2.06
aketi,2.7388,23.7833,82.63,68,99,4.36
moses lake,47.1301,-119.2781,73.69,28,1,3.44
mocuba,-16.8392,36.9856,70.99,77,5,8.21
hamilton,39.1834,-84.5333,67.23,54,1,1.01
san juan del sur,11.2529,-85.8705,85.17,63,32,22.7
katobu,-4.9408,122.5276,74.57,91,98,3.78
banjar,-8.19,114.9675,78.66,87,37,3.31
provideniya,64.3833,-173.3,38.21,69,94,7.61
andradas,-22.0681,-46.5692,73.58,63,89,7.16
bose,45.4612,8.0137,70.39,55,25,4.32
manzhouli,49.6,117.4333,43.21,85,21,19.37
lockhart,28.6194,-81.4426,82.74,65,20,1.99
anadyr,64.75,177.4833,35.01,69,0,3.22
bandarbeyla,9.4942,50.8122,79.59,82,89,27.65
buchach,49.0625,25.388,56.35,78,58,8.46
pasni,25.2631,63.471,86.5,75,0,15.08
tuktoyaktuk,69.4541,-133.0374,31.51,83,87,15.17
okha,53.5739,142.9478,33.75,87,13,8.66
puerto escondido,15.85,-97.0667,88.63,66,20,5.75
ancud,-41.8697,-73.8203,59.41,97,100,16.02
lebu,-37.6167,-73.65,57.92,94,100,11.88
port lincoln,-34.7333,135.8667,59.5,42,100,9.95
leningradskiy,69.3833,178.4167,28.81,94,88,11.52
kajaani,64.2273,27.7285,59.05,55,0,6.91
murray bridge,-35.1167,139.2667,55.08,37,100,10.11
rocha,-34.4833,-54.3333,61.52,52,11,19.66
tagusao,9.1924,117.8141,81.63,81,78,4.63
cobija,-11.0267,-68.7692,78.98,89,90,5.75
port-gentil,-0.7193,8.7815,79.5,82,78,16.35
te anau,-45.4167,167.7167,39.45,92,50,2.82
hami,42.8,93.45,79.81,10,2,10.45
pahrump,36.2083,-115.9839,85.84,11,90,1.99
fort frances,48.5999,-93.4003,64.62,54,1,1.01
umtata,-31.5889,28.7844,52.72,59,100,2.86
markova,48.6758,24.4138,54.79,86,99,1.9
saint-leu,-21.15,55.2833,69.51,92,1,2.44
jalu,29.0331,21.5482,95.54,15,9,14.74
alice springs,-23.7,133.8833,54.95,33,90,8.66
zaraza,9.3503,-65.3245,95.32,38,69,5.61
dingle,10.9995,122.6711,77.43,91,100,0.78
bodden town,19.2833,-81.25,84.16,37,20,9.26
griffith,41.5284,-87.4237,66.69,57,1,1.99
coihaique,-45.5752,-72.0662,48.15,93,90,10.36
sao felix do xingu,-6.6447,-51.995,92.08,32,25,4.05
santa rosa,14.3122,121.1114,85.53,72,99,1.14
goderich,43.7501,-81.7165,58.93,68,56,7.09
vila velha,-20.3297,-40.2925,84.88,78,40,4.0
rabo de peixe,37.8,-25.5833,67.51,77,40,11.43
soyo,-6.1349,12.3689,79.95,77,2,11.3
cayenne,4.9333,-52.3333,80.1,88,75,3.0
saldanha,-33.0117,17.9442,59.05,76,9,9.31
santa ines,-3.6667,-45.38,89.01,57,17,2.39
hasaki,35.7333,140.8333,61.2,73,88,7.18
slave lake,55.2834,-114.769,59.74,59,36,9.6
christchurch,-43.5333,172.6333,48.31,94,90,4.0
kibakwe,-6.7167,36.3667,63.39,87,45,4.47
luderitz,-26.6481,15.1594,63.91,62,0,25.1
san andres,12.5847,-81.7006,86.02,70,40,19.57
pangnirtung,66.1451,-65.7125,33.4,94,41,2.15
san quintin,30.4833,-115.95,62.96,69,42,5.12
union,40.6334,-74.2663,58.91,74,90,9.22
dudinka,69.4058,86.1778,32.43,96,100,11.27
florida,28.7505,-82.5001,86.52,53,40,3.0
madikeri,12.4167,75.7333,65.01,97,81,2.75
esperance,-33.8667,121.9,57.04,83,100,26.49
takoradi,4.8845,-1.7554,82.71,74,93,11.59
lokomotivnyy,53.0118,60.5684,61.23,74,10,14.32
khash,28.2211,61.2158,86.41,8,0,11.88
mogok,22.9167,96.5,66.38,97,65,2.86
mikkeli,61.6886,27.2723,53.71,82,75,3.44
jiuquan,39.7432,98.5174,70.45,9,0,16.49
betafo,-19.8333,46.85,62.13,65,71,0.83
aitape,-3.1374,142.3475,78.44,88,99,7.25
alofi,-19.0595,-169.9187,79.2,76,46,3.49
yulara,-25.2406,130.9889,60.64,36,90,1.14
kvarkeno,52.0833,59.725,70.54,62,2,14.0
salinopolis,-0.6136,-47.3561,85.35,67,10,9.4
chunhuhub,19.55,-88.6833,91.02,43,8,5.41
dunedin,-45.8742,170.5036,43.81,86,100,15.01
nioro,13.35,-15.75,101.48,22,79,8.12
upernavik,72.7868,-56.1549,31.39,89,100,3.74
airai,-8.9266,125.4092,59.43,95,96,2.17
balkanabat,39.5108,54.3671,87.6,34,0,11.21
syumsi,57.1111,51.6149,52.5,53,88,6.89
loukhi,66.0764,33.0381,56.19,49,41,10.49
baruun-urt,46.6806,113.2792,42.87,61,97,6.22
miraflores,19.2167,-98.8083,66.88,52,100,1.86
gunjur,13.2019,-16.7339,77.11,73,93,13.29
wajima,37.4,136.9,57.94,85,20,10.58
buala,-8.145,159.5921,78.78,87,70,6.31
acari,-15.4311,-74.6158,72.28,65,100,7.43
banfora,10.6333,-4.7667,99.34,30,99,1.95
mandera,3.9366,41.867,87.28,43,94,10.85
tshikapa,-6.4167,20.8,83.12,28,71,2.24
juneau,58.3019,-134.4197,50.76,96,90,3.0
sidney,-33.8679,151.2073,47.39,88,0,5.01
edd,13.9297,41.6925,87.58,69,2,11.21
cockburn town,21.4612,-71.1419,80.42,76,100,17.72
kizukuri,40.8061,140.3861,50.11,91,35,3.65
vung tau,10.346,107.0843,84.61,79,50,10.94
mahon,39.8885,4.2658,77.56,44,0,6.91
biltine,14.5333,20.9167,96.22,19,24,21.39
ishigaki,24.3448,124.1572,80.33,87,100,11.36
morant bay,17.8815,-76.4093,86.63,67,96,11.61
raduzhnyy,62.0961,77.475,41.36,87,100,15.55
san patricio,28.017,-97.5169,84.13,63,36,15.93
hulan ergi,47.2042,123.6333,63.03,73,100,11.25
thayetmyo,19.3167,95.1833,84.99,63,48,5.59
acapulco,16.8634,-99.8901,87.62,62,40,4.9
port shepstone,-30.7414,30.455,68.47,67,100,21.63
tautira,-17.7333,-149.15,71.62,63,45,14.16
la libertad,-2.2333,-80.9,74.86,83,90,8.5
raymond,43.9015,-70.4703,53.11,92,100,4.9
road town,18.4167,-64.6167,85.82,66,40,10.36
yar-sale,66.8333,70.8333,45.34,41,4,11.48
iwanai,42.9744,140.5089,39.54,96,67,5.19
eseka,3.65,10.7667,79.7,94,100,2.82
chiredzi,-21.05,31.6667,64.0,70,92,6.26
tigil,57.8,158.6667,38.82,79,41,2.21
avera,33.194,-82.5271,72.7,47,67,7.2
muzhi,65.3667,64.6667,47.89,46,50,10.45
komsomolskiy,40.4272,71.7189,80.02,34,3,7.25
chapais,49.7834,-74.8492,67.84,26,52,7.14
biak,-0.9131,122.8766,76.75,86,100,4.83
darhan,49.4867,105.9228,40.96,54,30,5.99
daru,-9.0763,143.2092,77.47,85,83,16.58
onokhoy,51.932,108.0747,42.55,82,4,5.97
leh,34.1667,77.5833,51.28,55,92,4.32
banda aceh,5.5577,95.3222,80.15,82,95,13.67
alyangula,-13.8483,136.4192,76.78,76,98,10.56
sorland,67.667,12.6934,50.07,87,100,4.68
fort nelson,58.8053,-122.7002,63.86,42,61,3.42
boyolangu,-8.1181,111.8935,75.02,92,77,2.44
datong,40.0936,113.2914,59.85,29,21,14.56
vila franca do campo,37.7167,-25.4333,68.41,72,72,9.78
akureyri,65.6835,-18.0878,55.53,44,31,16.33
ulladulla,-35.35,150.4667,47.08,70,28,5.39
ust-barguzin,53.45,108.9833,35.85,82,71,3.24
pampierstad,-27.7832,24.6877,59.74,32,58,11.36
zyryanovsk,49.7386,84.2719,61.16,64,40,1.32
cooma,-36.2333,149.1333,33.53,71,72,2.39
sfantu gheorghe,45.8667,25.7833,56.19,70,84,11.01
carballo,43.213,-8.691,72.16,67,0,4.79
shimoda,34.6667,138.95,61.11,81,11,3.62
novonukutskiy,53.7002,102.7117,36.72,87,49,8.95
reguengos de monsaraz,38.4253,-7.5349,86.76,27,3,16.62
ocean city,39.2776,-74.5746,61.29,67,1,8.99
qinhuangdao,39.9317,119.5883,59.02,93,97,0.74
muskegon,43.3,-86.1334,64.53,49,90,9.89
kargasok,59.0556,80.8572,68.85,55,92,10.47
auki,-8.7676,160.7034,76.39,90,100,5.77
kayseri,38.737,35.4968,69.82,49,75,9.22
quanzhou,24.9139,118.5858,73.35,94,100,4.74
nago,26.5881,127.9761,75.63,85,100,14.36
medicine hat,50.0501,-110.6683,67.23,40,91,1.99
cherskiy,68.75,161.3,52.29,39,13,8.21
santa maria,-29.6842,-53.8069,60.64,46,19,1.21
north bend,43.4065,-124.2243,61.92,72,1,6.91
el alto,-4.2714,-81.2147,73.9,70,59,9.57
geraldton,-28.7667,114.6,54.01,87,39,14.16
souillac,-20.5167,57.5167,73.36,76,0,8.52
la ronge,55.1001,-105.2842,58.59,62,100,9.91
namibe,-15.1961,12.1522,77.29,57,1,14.99
westport,41.1415,-73.3579,56.79,80,90,1.99
juiz de fora,-21.7642,-43.3503,74.52,85,100,4.99
lagos,6.5833,3.75,85.35,68,92,10.2
half moon bay,37.4636,-122.4286,66.67,68,1,5.23
nelson bay,-32.7167,152.15,45.81,95,5,5.44
tuatapere,-46.1333,167.6833,49.82,85,70,2.44
grindavik,63.8424,-22.4338,48.67,71,75,21.83
xining,36.6167,101.7667,49.93,71,96,1.66
kieta,-6.2167,155.6333,78.73,86,96,5.53
kalabo,-14.97,22.6814,69.93,24,29,2.13
sambava,-14.2667,50.1667,75.56,80,0,9.17
wawa,9.9022,4.4192,99.37,29,87,6.6
manama,26.2154,50.5832,94.98,46,0,12.66
labuan,5.2767,115.2417,82.56,69,97,3.96
wexford,52.3342,-6.4575,61.11,75,16,8.88
kyren,51.6828,102.1408,34.65,84,99,2.37
boquira,-12.8231,-42.7306,89.31,25,9,5.19
bathsheba,13.2167,-59.5167,88.41,51,40,19.62
ogbomosho,8.133,4.25,94.12,40,84,6.93
longyearbyen,78.2186,15.6401,35.44,69,75,10.36
diu,20.7141,70.9822,84.02,74,2,13.94
shebalino,51.2917,85.6772,50.83,75,20,3.33
kalat,29.0225,66.5916,76.77,10,0,6.53
hare bay,48.8499,-54.0148,65.77,36,96,12.01
kirkuk,35.4681,44.3922,93.51,12,17,7.78
tabou,4.423,-7.3528,77.68,90,98,8.48
ahipara,-35.1667,173.1667,57.92,78,9,12.17
byron bay,-28.65,153.6167,51.82,90,26,8.57
isangel,-19.55,169.2667,70.68,68,76,12.75
saint-joseph,-21.3667,55.6167,69.69,74,12,6.31
susuman,62.7833,148.1667,42.37,83,100,5.7
plattling,48.7833,12.8667,66.83,36,71,1.25
arenapolis,-14.4503,-56.8461,89.29,34,65,4.0
tocopilla,-22.092,-70.1979,69.84,63,42,6.02
arroyo,41.6096,-4.7969,84.15,34,0,3.33
